repetition	sampled_tips	observed_trees	p	R	R_min	R_max	infectious_time	infectious_time_min	infectious_time_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	upsilon	upsilon_min	upsilon_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max
1	11117	8838	0.58	1.24	1.22	1.27	2.34	2.28	2.40	8	5	12	0.008	0.005	0.012	0.53	0.52	0.54	0.43	0.42	0.44	44.25	30.96	66.78
2	11109	8833	0.58	1.24	1.21	1.27	2.33	2.28	2.40	7	4	11	0.007	0.003	0.011	0.53	0.52	0.54	0.43	0.42	0.44	54.96	34.53	95.37
3	11122	8844	0.58	1.24	1.22	1.27	2.34	2.28	2.39	8	5	11	0.008	0.005	0.012	0.53	0.52	0.54	0.43	0.42	0.44	48.34	33.62	72.83
4	11119	8838	0.58	1.24	1.22	1.27	2.34	2.28	2.39	8	5	11	0.008	0.005	0.012	0.53	0.52	0.54	0.43	0.42	0.44	45.97	31.87	70.61
5	11116	8829	0.58	1.24	1.22	1.27	2.34	2.28	2.39	9	6	13	0.007	0.004	0.011	0.53	0.52	0.54	0.43	0.42	0.44	40.67	27.68	62.49
6	11111	8827	0.58	1.24	1.22	1.27	2.34	2.28	2.39	8	5	12	0.007	0.004	0.011	0.53	0.52	0.55	0.43	0.42	0.44	44.93	30.30	69.33
7	11119	8838	0.58	1.24	1.21	1.27	2.33	2.28	2.40	8	5	12	0.007	0.004	0.011	0.53	0.52	0.54	0.43	0.42	0.44	46.63	31.46	73.45
8	11111	8830	0.58	1.24	1.21	1.27	2.33	2.28	2.40	7	4	11	0.007	0.003	0.011	0.53	0.52	0.54	0.43	0.42	0.44	53.77	33.99	91.96
9	11120	8833	0.58	1.24	1.21	1.27	2.33	2.28	2.39	8	4	12	0.007	0.003	0.011	0.53	0.52	0.54	0.43	0.42	0.44	48.15	31.25	83.55
10	11112	8827	0.58	1.25	1.22	1.27	2.34	2.28	2.40	8	5	11	0.008	0.004	0.012	0.53	0.52	0.55	0.43	0.42	0.44	48.05	32.14	77.57
