	loglikelihood BDPN	loglikelihood BD	loglikelihood ratio
1	-28983.58635145851	-29001.7620755697	36.35144822237635
2	-28966.75971424761	-28981.64408329294	29.76873809065728
3	-28989.02646646562	-29007.457571372703	36.86220981416409
4	-28983.34141406832	-29001.69628124014	36.709734343639866
5	-28974.819960186203	-28987.15713193465	24.674343496895744
6	-28960.967165075806	-28974.785112484507	27.635894817402004
7	-28986.148163207465	-29000.01355636727	27.73078631961107
8	-28970.40971218402	-28984.577176861476	28.334929354910855
9	-28986.939895668907	-29000.23595023442	26.59210913102288
10	-28962.892020851727	-28979.511027304066	33.238012904679636
