	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		2.13995	2.04021	2.24273	1.45614	1.35453	1.56184	0			1.45614			0.415266	0.415266	0.415266
0.tree	tree	bdct		1.6408	1.55512	1.72934	0.680636	0.608292	0.757831	0.709123	0.660648	0.756277	51.959	46.6995	57.7047	0.415266	0.415266	0.415266
0.tree	tree	real	986	1.5473798447926026			0.1864574795775123			0.7139605838155273			45.0574385796454			0.415265854646274		
1.tree	tree	bd		1.86101	1.76474	1.96096	0.962325	0.868445	1.06141	0			0.962325			0.458627	0.458627	0.458627
1.tree	tree	bdct		1.56976	1.4809	1.66212	0.467343	0.399942	0.540742	0.532862	0.479784	0.58578	68.6613	59.5109	79.0888	0.458627	0.458627	0.458627
1.tree	tree	real	714	1.533366252671934			0.17683583892317103			0.4959952555647187			65.12745242439071			0.4586271365234498		
2.tree	tree	real	731	1.6397360166189812			0.18447559490566814			0.1401334985159386			5.473000797902119			0.3247814368296267		
2.tree	tree	bdct		1.61067	1.53993	1.68303	0.227889	0.188006	0.273655	0.120095	0.0853805	0.157904	12.4542	8.97684	17.4805	0.324781	0.324781	0.324781
2.tree	tree	bd		1.61627	1.54923	1.68483	0.325953	0.280257	0.376481	0			0.325953			0.324781	0.324781	0.324781
3.tree	tree	bdct		0.162817	0.156496	0.169492	0.0716273	0.0633506	0.0811633	0.243423	0.210143	0.278888	3.1946	2.6956	3.76736	0.0802811	0.0802811	0.0802811
3.tree	tree	bd		0.19713	0.188703	0.205712	0.122872	0.112398	0.133361	0			0.122872			0.0802811	0.0802811	0.0802811
3.tree	tree	real	921	0.15997325331169676			0.0676392719974195			0.2325624058522064			2.6393210867693973			0.0802811293131258		
4.tree	tree	real	837	1.659548385363034			0.24564427804370834			0.6839898343386409			109.48447396494477			0.2994209792704784		
4.tree	tree	bd		2.67031	2.54258	2.80252	1.87324	1.7416	2.01031	0			1.87324			0.299421	0.299421	0.299421
4.tree	tree	bdct		1.95347	1.8486	2.06198	0.843972	0.751772	0.942118	0.690052	0.640185	0.738481	115.28	103.055	128.554	0.299421	0.299421	0.299421
5.tree	tree	bdct		0.199521	0.18944	0.210009	0.0680396	0.0591359	0.0775757	0.223289	0.1884	0.260455	21.6524	17.7685	26.2641	0.366181	0.366181	0.366181
5.tree	tree	bd		0.214115	0.203292	0.224603	0.100435	0.0903359	0.111878	0			0.100435			0.366181	0.366181	0.366181
5.tree	tree	real	741	0.19180698818299907			0.06145232704455589			0.2084868639691094			25.11715392940538			0.3661814929610302		
6.tree	tree	bd		0.605043	0.576728	0.634589	0.352094	0.324665	0.380694	0			0.352094			0.497748	0.497748	0.497748
6.tree	tree	real	984	0.4993911913898427			0.11826638673503083			0.4610821611136436			9.272411434191454			0.4977484874286819		
