tree,real_lambda_1,est_lambda_1,abs_diff_lambda_1,rel_diff_lambda_1,real_psi_1,est_psi_1,abs_diff_psi_1,rel_diff_psi_1,real_rho_1,est_rho_1,abs_diff_rho_1,rel_diff_rho_1,real_R0_1,est_R0_1,abs_diff_R0_1,rel_diff_R0_1,real_infectious_time_1,est_infectious_time_1,abs_diff_infectious_time_1,rel_diff_infectious_time_1,real_lambda_2,est_lambda_2,real_psi_2,est_psi_2,real_rho_2,est_rho_2,real_R0_2,est_R0_2,real_infectious_time_2,est_infectious_time_2,real_t_1,est_t_1,abs_diff_lambda_2,rel_diff_lambda_2,abs_diff_psi_2,rel_diff_psi_2,abs_diff_rho_2,rel_diff_rho_2,abs_diff_R0_2,rel_diff_R0_2,abs_diff_infectious_time_2,rel_diff_infectious_time_2,abs_diff_t_1,rel_diff_t_1
0,0.854084,0.8407591275238313,-0.013324872476168648,-1.560136061109756,0.148484,0.14280384637573712,-0.005680153624262885,-3.8254314432954963,0.638297,0.6382971389515026,1.3895150263731892e-07,1.3895150263731892e-05,5.75201,5.8875103777784465,0.13550037777844626,2.355704836717013,6.73471,7.002612502249124,0.2679025022491244,3.9779367225778746,,,,,,,,,,,9.96503,,,,,,,,,,,,,
1,0.395437,0.2414711423378765,-0.15396585766212348,-38.93562252953656,0.0485189,0.1,0.05148110000000001,100.0,0.674631,0.6746305417779274,-4.5822207261903003e-07,-4.5822207261903e-05,8.15017,2.414711423378765,-5.735458576621234,-70.37225697894932,20.6105,10.0,-10.610499999999998,-51.48104121685548,0.521977,0.8371882774048154,0.0799581,0.15515503478008102,0.0955045,0.09550448350316029,6.52813,5.395817664515096,12.5066,6.445166290719565,21.2151,21.2151,0.31521127740481536,60.38796295714472,0.07519693478008102,94.04542476632263,-1.6496839713719957e-08,-1.6496839713719957e-06,-1.1323123354849036,-17.345125410874225,-6.061433709280435,-48.465879689767284,0.0,0.0
2,0.944911,0.9836768802953006,0.0387658802953007,4.102595937109496,0.132387,0.12313353210788776,-0.009253467892112247,-6.989710388567039,0.420851,0.42085138886352746,3.888635274895691e-07,3.888635274895691e-05,7.1375,7.988700262682449,0.8512002626824486,11.925747988545691,7.55362,8.121264637514134,0.5676446375141344,7.514868864387332,,,,,,,,,,,10.8957,,,,,,,,,,,,,
3,0.212226,0.18964017513762754,-0.022585824862372456,-10.64234583056386,0.0589305,0.1,0.04106950000000001,69.69141615971358,0.415546,0.4155456551383142,-3.4486168581926435e-07,-3.4486168581926435e-05,3.60129,1.8964017513762754,-1.7048882486237247,-47.34104303246127,16.9691,10.0,-6.969100000000001,-41.06935547554084,0.327853,0.4268228113335275,0.0783318,0.1,0.257849,0.2578494120964908,4.18544,4.268228113335275,12.7662,10.0,45.7697,45.7697,0.0989698113335275,30.187252010360588,0.021668200000000012,27.662073385266282,4.120964908205238e-07,4.120964908205238e-05,0.08278811333527525,1.9780026313906125,-2.7661999999999995,-21.6681549717222,0.0,0.0
4,1.91767,1.9509525033805206,0.033282503380520634,1.7355699041295236,0.246205,0.25392431714469943,0.007719317144699422,3.135321031132358,0.584356,0.5843558903864027,-1.0961359730998765e-07,-1.0961359730998765e-05,7.7889,7.683204686019753,-0.10569531398024701,-1.3569992422581751,4.06166,3.938181310260834,-0.12347868973916576,-3.04010403970706,,,,,,,,,,,5.97751,,,,,,,,,,,,,
5,0.952205,0.669678454199655,-0.282526545800345,-29.670768983605946,0.139015,0.3170301639870062,0.17801516398700618,100.0,0.357371,0.35737108406647317,8.406647317160676e-08,8.406647317160676e-06,6.84965,2.1123493290912925,-4.7373006709087075,-69.16120781220512,7.19346,3.1542739890232845,-4.0391860109767155,-56.150809359845134,0.204601,0.2584668317320778,0.0572927,0.1,0.0678106,0.06781061306017667,3.57116,2.584668317320778,17.4542,10.0,9.83197,9.83197,0.05386583173207779,26.32725731158586,0.042707300000000004,74.54230643694572,1.3060176676238378e-08,1.3060176676238378e-06,-0.986491682679222,-27.623844428119217,-7.4542,-42.707199413321725,0.0,0.0
6,0.884215,0.877254457911139,-0.006960542088860988,-0.787200181953596,0.114199,0.11343966700967373,-0.0007593329903262669,-0.6649208752495792,0.541652,0.5416519268884137,-7.311158634060178e-08,-7.3111586340601775e-06,7.74274,7.733224903034402,-0.009515096965598602,-0.12289056542772456,8.75662,8.815258598341298,0.058638598341298476,0.6696487724863985,,,,,,,,,,,11.7699,,,,,,,,,,,,,
7,0.510651,0.48120857135465445,-0.02944242864534552,-5.765665522116969,0.0556947,0.1,0.044305300000000006,79.55029832282068,0.496104,0.49610420588030585,2.0588030585910744e-07,2.0588030585910744e-05,9.16875,4.812085713546544,-4.356664286453455,-47.51644756868117,17.955,10.0,-7.954999999999998,-44.30520746310219,,,,,,,,,,,22.1117,,,,,,,,,,,,,
8,0.973646,1.3282168246572552,0.3545708246572552,36.41681110560257,0.0984952,0.1,0.0015048000000000006,1.5277901867299122,0.0852464,0.08524644460551693,4.4605516932860745e-08,4.4605516932860745e-06,9.88522,13.282168246572551,3.396948246572551,34.36391144124815,10.1528,10.0,-0.15279999999999916,-1.5050035458198643,1.73964,2.5325639154984727,0.253383,0.523461995777518,0.197577,0.1975774316300617,6.86564,4.838104649291224,3.94659,1.910358360428176,10.1326,10.1326,0.7929239154984726,45.57977026847351,0.2700789957775179,100.0,4.316300616924451e-07,4.316300616924451e-05,-2.027535350708776,-29.531629253919174,-2.036231639571824,-51.59470934583587,0.0,0.0
9,1.65597,1.70388099686012,0.047910996860120125,2.893228552456876,0.32962,0.3078107564867327,-0.02180924351326735,-6.616480648403419,0.529418,0.5294175068141798,-4.931858202938955e-07,-4.9318582029389546e-05,5.02388,5.535482308375929,0.5116023083759291,10.183410200401465,3.0338,3.2487493660511575,0.21494936605115766,7.085152813341606,,,,,,,,,,,6.19732,,,,,,,,,,,,,
